Symbol,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
EPAM,0,0,0,0,0,0,0,1,0,0,0
EQT,0,0,0,1,0,0,0,0,0,0,0
EFX,0,0,0,0,0,0,1,0,0,0,0
EQIX,0,0,0,0,0,0,0,0,0,1,0
EQR,0,0,0,0,0,0,0,0,0,1,0
ESS,0,0,0,0,0,0,0,0,0,1,0
EL,0,0,1,0,0,0,0,0,0,0,0
RE,0,0,0,0,1,0,0,0,0,0,0
EVRG,0,0,0,0,0,0,0,0,0,0,1
ES,0,0,0,0,0,0,0,0,0,0,1
EXC,0,0,0,0,0,0,0,0,0,0,1
EXPE,0,1,0,0,0,0,0,0,0,0,0
EXPD,0,0,0,0,0,0,1,0,0,0,0
EXR,0,0,0,0,0,0,0,0,0,1,0
XOM,0,0,0,1,0,0,0,0,0,0,0
FFIV,0,0,0,0,0,0,0,1,0,0,0
FDS,0,0,0,0,1,0,0,0,0,0,0
FAST,0,0,0,0,0,0,1,0,0,0,0
FRT,0,0,0,0,0,0,0,0,0,1,0
FDX,0,0,0,0,0,0,1,0,0,0,0
FITB,0,0,0,0,1,0,0,0,0,0,0
FRC,0,0,0,0,1,0,0,0,0,0,0
FE,0,0,0,0,0,0,0,0,0,0,1
FIS,0,0,0,0,0,0,0,1,0,0,0
FISV,0,0,0,0,0,0,0,1,0,0,0
FLT,0,0,0,0,0,0,0,1,0,0,0
FMC,0,0,0,0,0,0,0,0,1,0,0
F,0,1,0,0,0,0,0,0,0,0,0
FTNT,0,0,0,0,0,0,0,1,0,0,0
FBHS,0,0,0,0,0,0,1,0,0,0,0
BEN,0,0,0,0,1,0,0,0,0,0,0
FCX,0,0,0,0,0,0,0,0,1,0,0
GRMN,0,1,0,0,0,0,0,0,0,0,0
IT,0,0,0,0,0,0,0,1,0,0,0
GEN,0,0,0,0,0,0,0,1,0,0,0
GNRC,0,0,0,0,0,0,1,0,0,0,0
GD,0,0,0,0,0,0,1,0,0,0,0
GE,0,0,0,0,0,0,1,0,0,0,0
GIS,0,0,1,0,0,0,0,0,0,0,0
GM,0,1,0,0,0,0,0,0,0,0,0
GPC,0,1,0,0,0,0,0,0,0,0,0
GILD,0,0,0,0,0,1,0,0,0,0,0
GL,0,0,0,0,1,0,0,0,0,0,0
GPN,0,0,0,0,0,0,0,1,0,0,0
GS,0,0,0,0,1,0,0,0,0,0,0
HAL,0,0,0,1,0,0,0,0,0,0,0
HIG,0,0,0,0,1,0,0,0,0,0,0
HAS,0,1,0,0,0,0,0,0,0,0,0
HCA,0,0,0,0,0,1,0,0,0,0,0
PEAK,0,0,0,0,0,0,0,0,0,1,0
HSIC,0,0,0,0,0,1,0,0,0,0,0
HSY,0,0,1,0,0,0,0,0,0,0,0
HES,0,0,0,1,0,0,0,0,0,0,0
HLT,0,1,0,0,0,0,0,0,0,0,0
HOLX,0,0,0,0,0,1,0,0,0,0,0
HD,0,1,0,0,0,0,0,0,0,0,0
HON,0,0,0,0,0,0,1,0,0,0,0
HRL,0,0,1,0,0,0,0,0,0,0,0
HST,0,0,0,0,0,0,0,0,0,1,0
HPQ,0,0,0,0,0,0,0,1,0,0,0
HUM,0,0,0,0,0,1,0,0,0,0,0
HBAN,0,0,0,0,1,0,0,0,0,0,0
HII,0,0,0,0,0,0,1,0,0,0,0
IBM,0,0,0,0,0,0,0,1,0,0,0
IEX,0,0,0,0,0,0,1,0,0,0,0
IDXX,0,0,0,0,0,1,0,0,0,0,0
ITW,0,0,0,0,0,0,1,0,0,0,0
ILMN,0,0,0,0,0,1,0,0,0,0,0
INCY,0,0,0,0,0,1,0,0,0,0,0
INTC,0,0,0,0,0,0,0,1,0,0,0
ICE,0,0,0,0,1,0,0,0,0,0,0
IP,0,0,0,0,0,0,0,0,1,0,0
IPG,1,0,0,0,0,0,0,0,0,0,0
IFF,0,0,0,0,0,0,0,0,1,0,0
INTU,0,0,0,0,0,0,0,1,0,0,0
ISRG,0,0,0,0,0,1,0,0,0,0,0
IVZ,0,0,0,0,1,0,0,0,0,0,0
IQV,0,0,0,0,0,1,0,0,0,0,0
IRM,0,0,0,0,0,0,0,0,0,1,0
JBHT,0,0,0,0,0,0,1,0,0,0,0
JKHY,0,0,0,0,0,0,0,1,0,0,0
J,0,0,0,0,0,0,1,0,0,0,0
JNJ,0,0,0,0,0,1,0,0,0,0,0
JCI,0,0,0,0,0,0,1,0,0,0,0
JPM,0,0,0,0,1,0,0,0,0,0,0
JNPR,0,0,0,0,0,0,0,1,0,0,0
K,0,0,1,0,0,0,0,0,0,0,0
KDP,0,0,1,0,0,0,0,0,0,0,0
KEY,0,0,0,0,1,0,0,0,0,0,0
KMB,0,0,1,0,0,0,0,0,0,0,0
KIM,0,0,0,0,0,0,0,0,0,1,0
KMI,0,0,0,1,0,0,0,0,0,0,0
KLAC,0,0,0,0,0,0,0,1,0,0,0
KR,0,0,1,0,0,0,0,0,0,0,0
LHX,0,0,0,0,0,0,1,0,0,0,0
LH,0,0,0,0,0,1,0,0,0,0,0
LRCX,0,0,0,0,0,0,0,1,0,0,0
LVS,0,1,0,0,0,0,0,0,0,0,0
LDOS,0,0,0,0,0,0,1,0,0,0,0
LEN,0,1,0,0,0,0,0,0,0,0,0
LNC,0,0,0,0,1,0,0,0,0,0,0
LIN,0,0,0,0,0,0,0,0,1,0,0
LYV,1,0,0,0,0,0,0,0,0,0,0
LKQ,0,1,0,0,0,0,0,0,0,0,0
LMT,0,0,0,0,0,0,1,0,0,0,0
L,0,0,0,0,1,0,0,0,0,0,0
LOW,0,1,0,0,0,0,0,0,0,0,0
LUMN,1,0,0,0,0,0,0,0,0,0,0
LYB,0,0,0,0,0,0,0,0,1,0,0
MTB,0,0,0,0,1,0,0,0,0,0,0
MRO,0,0,0,1,0,0,0,0,0,0,0
MPC,0,0,0,1,0,0,0,0,0,0,0
MKTX,0,0,0,0,1,0,0,0,0,0,0
MAR,0,1,0,0,0,0,0,0,0,0,0
MMC,0,0,0,0,1,0,0,0,0,0,0
MLM,0,0,0,0,0,0,0,0,1,0,0
MAS,0,0,0,0,0,0,1,0,0,0,0
MA,0,0,0,0,0,0,0,1,0,0,0
MTCH,1,0,0,0,0,0,0,0,0,0,0
MKC,0,0,1,0,0,0,0,0,0,0,0
MCD,0,1,0,0,0,0,0,0,0,0,0
MCK,0,0,0,0,0,1,0,0,0,0,0
MDT,0,0,0,0,0,1,0,0,0,0,0
MRK,0,0,0,0,0,1,0,0,0,0,0
META,1,0,0,0,0,0,0,0,0,0,0
MET,0,0,0,0,1,0,0,0,0,0,0
MTD,0,0,0,0,0,1,0,0,0,0,0
MGM,0,1,0,0,0,0,0,0,0,0,0
MCHP,0,0,0,0,0,0,0,1,0,0,0
MU,0,0,0,0,0,0,0,1,0,0,0
MSFT,0,0,0,0,0,0,0,1,0,0,0
MAA,0,0,0,0,0,0,0,0,0,1,0
MHK,0,1,0,0,0,0,0,0,0,0,0
MOH,0,0,0,0,0,1,0,0,0,0,0
TAP,0,0,1,0,0,0,0,0,0,0,0
MDLZ,0,0,1,0,0,0,0,0,0,0,0
MPWR,0,0,0,0,0,0,0,1,0,0,0
MNST,0,0,1,0,0,0,0,0,0,0,0
MCO,0,0,0,0,1,0,0,0,0,0,0
MS,0,0,0,0,1,0,0,0,0,0,0
MOS,0,0,0,0,0,0,0,0,1,0,0
MSI,0,0,0,0,0,0,0,1,0,0,0
MSCI,0,0,0,0,1,0,0,0,0,0,0
NDAQ,0,0,0,0,1,0,0,0,0,0,0
NTAP,0,0,0,0,0,0,0,1,0,0,0
